ID GM,Câble,Origine,Destination
3821,SCS-PDG-02_C37/PA-0014N/ASN-PZ-152/P01,SCS-PDG-02_C37/PA-0014N,ASN-PZ-152
3822,SCS-PDG-02_C37/PT-0012NB/ASN-PZ-134/P01,SCS-PDG-02_C37/PT-0012NB,ASN-PZ-134
3824,SCS-PDG-02_C37/PT-0012NA/ASN-PZ-117/P01,SCS-PDG-02_C37/PT-0012NA,ASN-PZ-117
3825,SCS-PDG-02_C39/PA-0014N/ASN-PZ-152/P01,SCS-PDG-02_C39/PA-0014N,ASN-PZ-152
3827,SCS-PDG-02_C39/PT-0012NA/ASN-PZ-117/P01,SCS-PDG-02_C39/PT-0012NA,ASN-PZ-117
3828,SCS-PDG-02_C39/PT-0008/ASN-PZ-085/P01,SCS-PDG-02_C39/PT-0008,ASN-PZ-085
3831,SCS-PDG-02_C41/PT-0009/ASN-PZ-101/P01,SCS-PDG-02_C41/PT-0009,ASN-PZ-101
3832,SCS-PDG-02_C41/PT-0012NB/ASN-PZ-134/P01,SCS-PDG-02_C41/PT-0012NB,ASN-PZ-134
3833,SCS-PDU-01_C2/PA-0014N/ASN-PZ-152/P01,SCS-PDU-01_C2/PA-0014N,ASN-PZ-152
3834,SCS-PDU-01_C2/PT-0012NB/ASN-PZ-134/P01,SCS-PDU-01_C2/PT-0012NB,ASN-PZ-134
3836,SCS-PDU-01_C2/PT-0012NA/ASN-PZ-117/P01,SCS-PDU-01_C2/PT-0012NA,ASN-PZ-117
3837,SCS-PDU-01_C4/PA-0014N/ASN-PZ-152/P01,SCS-PDU-01_C4/PA-0014N,ASN-PZ-152
3839,SCS-PDU-01_C4/PT-0009/ASN-PZ-101/P01,SCS-PDU-01_C4/PT-0009,ASN-PZ-101
3840,SCS-PDU-01_C4/PT-0008/ASN-PZ-085/P01,SCS-PDU-01_C4/PT-0008,ASN-PZ-085
3842,SCS-PDU-01_C6/PT-0012NB/ASN-PZ-134/P01,SCS-PDU-01_C6/PT-0012NB,ASN-PZ-134
3843,SCS-PDU-01_C6/PT-0009/ASN-PZ-101/P01,SCS-PDU-01_C6/PT-0009,ASN-PZ-101
7823,SCS-PDG-02_C37/PT-0008/ASN-PZ-085/P01,SCS-PDG-02_C37/PT-0008,ASN-PZ-085
7824,SCS-PDG-02_C39/PT-0009/ASN-PZ-101/P01,SCS-PDG-02_C39/PT-0009,ASN-PZ-101
7825,SCS-PDU-01_C2/PT-0008/ASN-PZ-085/P01,SCS-PDU-01_C2/PT-0008,ASN-PZ-085
7826,SCS-PDU-01_C4/PT-0012NA/ASN-PZ-117/P01,SCS-PDU-01_C4/PT-0012NA,ASN-PZ-117
9078,025-PT-016NA_C37-39-41/PT-0008N_C37-39-41/G01,025-PT-016NA_C37-39-41,PT-0008N_C37-39-41
9079,025-PT-016NA_C02-04-06/PT-0008N_C02-04-06/G01,025-PT-016NA_C02-04-06,PT-0008N_C02-04-06
9094,SCS-PDG-02/C37-39-41/25-PT-0012 NB/ASN-PZ-134/G01,SCS-PDG-02/C37-39-41/25-PT-0012 NB,ASN-PZ-134
9095,SCS-PDU-01/C02-04-06/25-PT-0012 NB/ASN-PZ-134/G01,SCS-PDU-01/C02-04-06/25-PT-0012 NB,ASN-PZ-134
9096,SCS-PDG-02/C37-39-41/25-PT-0012 NA/ASN-PZ-117/G01,SCS-PDG-02/C37-39-41/25-PT-0012 NA,ASN-PZ-117
9097,SCS-PDU-01/C02-04-06/25-PT-0012 NA/ASN-PZ-117/G01,SCS-PDU-01/C02-04-06/25-PT-0012 NA,ASN-PZ-117
9098,SCS-PDG-02/C37-39-41/25-PT-0010 E/ASN-PZ-101/G01,SCS-PDG-02/C37-39-41/25-PT-0010 E,ASN-PZ-101
9099,SCS-PDU-01/C02-04-06/25-PT-0010 E/ASN-PZ-101/G01,SCS-PDU-01/C02-04-06/25-PT-0010 E,ASN-PZ-101
9100,SCS-PDG-02/C37-39-41/025-PT-0008(N)/ASN-PZ-085/G01,SCS-PDG-02/C37-39-41/025-PT-0008(N),ASN-PZ-085
9101,SCS-PDU-01/C02-04-06/025-PT-0008 (N)/ASN-PZ-085/G01,SCS-PDU-01/C02-04-06/025-PT-0008 (N),ASN-PZ-085
9104,SCS-PDG-02/C37-39-41/PA-0014N/ASN-PZ-152/G01,SCS-PDG-02/C37-39-41/PA-0014N,ASN-PZ-152
